row_id,place_id
0,9277558153 1064433118 1214744643
1,2013736336 1782331806 3243409743
2,7481059046 3289927421 5821764662
3,2002377006 1514759428 8001849273
4,6459802520 6698129378 8906102887
5,5028377747 1447458772 5152560199
6,3109294282 5611404379 5851101680
7,2613971048 2085005101 8219692414
8,2191807392 7958850057 9954155328
9,2074016136 7705381835 5706097865
10,5518252170 7405880578 5128638215
11,2515771940 5604383136 2929326614
12,4535494277 2144150803 2929326614
13,5489633029 9724404984 8501044958
14,4616184605 3506473632 8053972671
15,1085398872 2085005101 8597025374
16,7995458948 8517315303 2215048232
17,9296230406 9787013492 9578699284
18,5904094719 8999213006 7306399038
19,4463473122 7074783747 4690391147
20,5561881423 8610202964 1045471690
21,2031174031 3795644949 5373823921
22,2160183705 7788479474 4116687489
23,7788479474 3706167200 4103884222
24,6100193211 2423094377 3255568941
25,1753841087 9660126646 6380214312
26,6521941401 8285100917 1017236154
27,9913438709 3554141485 1934052685
28,9265341025 5356564080 2666767920
29,3614695108 2614149906 9578699284
30,1366391988 5895261094 6232272844
31,9024692354 5152334340 1231379865
32,5521780984 5749845571 6468270170
33,5790249841 2562283122 1458011238
34,6878057202 3910754628 3249077100
35,1985125281 8643938046 3416955530
36,1015645743 6173243423 4041053840
37,8610202964 7481059046 9478032573
38,2909125623 2074016136 8324882960
39,7351908699 5278578955 3601105164
40,5175830113 3606438667 9838617334
41,2515771940 5678802206 4667425033
42,9000712359 6708531323 6587067847
43,3109294282 6933831336 5092451403
44,3255568941 8260096893 2280368034
45,3877629013 1515664017 2614149906
46,3563775250 5883398718 1752358384
47,9577817393 3910754628 7467654743
48,4344036047 6026000998 6563939569
49,2074016136 2185576514 4690391147
50,9573801864 6028902360 6231536549
51,6171384989 3416955530 3617419118
52,1231379865 5736583791 7341966089
53,4240723500 2296879735 8424430580
54,8519764242 1876216216 8415168810
55,5636786078 7923305303 2574630889
56,5851101680 3525342576 8662051857
57,9578699284 7242605769 8800122795
58,9257148299 1502056611 6537369994
59,3932102096 9224390847 2065502555
60,4116687489 9660126646 7478630721
61,1659245561 8050261013 6840596147
62,4478661820 5489633029 2665167245
63,8734087008 2613971048 1009547218
64,8505834548 6100193211 1282780167
65,7788479474 6468270170 6441206573
66,8519764242 9579177704 6755217962
67,9578699284 9573801864 3706167200
68,9421937150 6065205330 5049209150
69,3209368395 2840079939 3445879472
70,5636786078 5186715343 4214182869
71,7120792564 7964632937 7766577517
72,8415168810 4088734818 3212998239
73,8501044958 8610202964 4535494277
74,9704430721 4041053840 2614149906
75,5895261094 7074783747 5186715343
76,3795644949 7405880578 6948240353
77,8999213006 4699718393 8231494031
78,9110155624 6171384989 5156826092
79,5895261094 4909747086 7904290256
80,8897287367 6878057202 3448034976
81,6956212844 1215442382 5848817892
82,6090644375 6412642774 3419121115
83,2317458742 5951809416 1310138027
84,5714487014 4043123435 8138489396
85,5746556568 4270403095 9572729914
86,6755700455 7705381835 4116687489
87,5851101680 5883398718 1656255553
88,8779824852 6133471940 9724404984
89,3671933714 9639680342 1029286162
90,2101577374 5497297930 5152560199
91,5677730000 9248210115 7038972695
92,4646500666 8260096893 1054395905
93,4116687489 9578699284 3277810716
