row_id,place_id
0,7497866934 8820474085 3923370223
1,5592709724 5361947872 6992934088
2,6992934088 2283809534 5588558887
3,1439531767 1621868479 5814452426
4,5160251968 6983413050 7995735254
5,5361947872 7983286562 1982083953
6,4152335643 7430409324 3669164021
7,5889007670 4152335643 8415042729
8,1519641454 1276952876 6362108093
9,3974026902 1579124153 5936437068
10,7171722711 7449117061 8167215622
11,6752918468 5797291984 7013828750
12,4978194562 5649790024 5815751533
13,6005969791 6752918468 4736302039
14,3923370223 9914207522 9661305965
15,3576123448 3048775924 6607251014
16,3576123448 3495692721 4736302039
17,6005969791 8010175977 7323317261
18,7307561899 4152335643 2617983051
19,2283809534 1570079725 4736302039
20,1229926477 3277623617 5531977987
21,4688862468 6005969791 2283809534
22,5815751533 4943575199 7790189213
23,6752918468 7995735254 4796134723
24,2362154766 2709802007 3576123448
25,8249425926 8635231864 4021603598
26,3135404201 4494520485 3923370223
27,4943575199 8090429732 4688862468
28,6752918468 9502616376 3332420015
29,1600467886 6663644509 6174566260
30,6548756228 7906239792 4978194562
31,1888919838 2433858609 7239487472
32,2362154766 5936437068 6921814594
33,6755182546 3923370223 8777942075
34,4736302039 5889007670 6935533346
35,3135404201 5784677725 4680790899
36,3277623617 2204049961 2165725176
37,9398725187 7123962218 7983286562
38,9508037706 8787682843 8635231864
39,3792726743 7358720249 3048775924
40,1579124153 9502616376 9990395184
41,6373797451 4943575199 4589600307
42,3880750365 6752918468 5592709724
43,3380616370 5592709724 7383917874
44,4943575199 1115892597 4152335643
45,1579124153 9661305965 7545123531
46,4152335643 9682069056 8436537383
47,4688862468 5882582481 5722188241
48,6752918468 1470045057 5588558887
49,4688862468 8090429732 1570079725
50,3576123448 6477328638 5814452426
51,8635231864 9173479833 5331468880
52,3576123448 1579124153 4736302039
53,8090429732 5797291984 1320792026
54,9679712115 4152335643 5797291984
55,5249881507 1888919838 7171722711
56,8635231864 3142567710 2041075683
57,5797291984 6755182546 6983413050
58,6752918468 4115124449 3792726743
59,6980913958 4943575199 4152335643
60,9354501813 6752918468 5867701003
61,2152497147 7358720249 9173479833
62,3142567710 6752918468 7013828750
63,5965847080 3576123448 1064274466
64,3213546772 5588558887 3923370223
65,7123962218 4152335643 4736302039
66,4510831006 4152335643 5797291984
67,4152335643 8348606078 3576123448
68,4943575199 8010175977 1593854366
69,7606448263 2846824011 4688862468
70,5588558887 2283809534 4688862468
71,1200380340 6752918468 7995735254
72,2283809534 4510831006 9108919672
73,4688862468 6752918468 1570079725
74,4754482536 4736302039 7171722711
75,1579124153 5889007670 9682069056
76,1439531767 9968038699 7171722711
77,1579124153 8706538577 2815250933
78,8706538577 8090429732 4736302039
79,4629083837 3576123448 6298658064
80,1600467886 4787201267 1200380340
81,1114836375 5361947872 6362108093
82,3923370223 6752918468 3135404201
83,5936437068 4165178436 3389809619
84,1064274466 5141359116 4736302039
85,4688862468 4736302039 8090429732
86,5592709724 2344405385 8438848132
87,7995735254 4510831006 5573720390
88,3239876526 8090429732 3135404201
89,9903575722 3537381496 9839331537
90,7497866934 8635231864 2961919670
91,7239487472 4736302039 9200963394
92,6752918468 1439531767 1570079725
93,1600467886 4334999876 4036555162
94,1200380340 1320792026 9108919672
95,5160251968 8635231864 8200772358
96,8703718967 8090429732 2092592571
97,7658746136 9682069056 4728973905
98,3923370223 7321276763 2041075683
99,8038613478 5361947872 5889007670
100,4688862468 4502945817 4943575199
101,8703718967 3256295718 5606634307
102,9502616376 4494520485 3135404201
103,5588558887 6488543938 7545123531
104,2092592571 5722188241 2283809534
105,1527505526 2762254973 9661305965
106,8200772358 5797291984 7995735254
107,7805067511 7013828750 3636298659
108,4943575199 2283809534 1200380340
109,8635231864 6488543938 5965847080
110,7229596120 1888919838 7983286562
111,8521480518 1229926477 4152335643
112,2846824011 9839331537 2283809534
113,6752918468 5046776216 1961666045
114,5592709724 8635231864 7658746136
115,4589600307 3923370223 5160251968
116,6362108093 7171722711 4025858000
117,5592709724 4736302039 6005969791
118,5537465524 4252851416 7995735254
119,7497866934 8303759513 8311711412
120,3792726743 3135404201 3557146733
121,4943575199 6992934088 4152335643
122,8661261692 2162004721 6992934088
123,3643355853 7323317261 2726853391
124,1570079725 8090429732 4688862468
125,6921814594 9860259066 9903575722
126,5363984354 1114836375 9090640412
127,8090429732 4736302039 3135404201
128,1570079725 2283809534 4152335643
129,6755182546 7995735254 1982083953
130,5814452426 6752918468 2877263847
131,8490142526 4943575199 7790189213
132,3135404201 7323317261 4115124449
133,9617143908 6921814594 7995735254
134,7013828750 7358720249 8120582196
135,2226002101 8292183009 4152335643
136,4669012528 4152335643 1527505526
137,5160251968 8706538577 7805067511
138,3135404201 4152335643 7907273045
139,5537465524 8438848132 6752918468
140,5046776216 1169956733 3135404201
141,3135404201 4152335643 6752918468
142,2283809534 5797291984 5249881507
143,1570079725 2283809534 9268092849
144,9162996722 6252502663 9986095283
145,4510831006 2283809534 3724019050
146,5814452426 5361947872 1114836375
147,4736302039 2041075683 2193888876
148,4736302039 3135404201 8232464811
149,6005969791 4688862468 4736302039
150,8678265258 6488543938 8647620123
151,7995735254 9986095283 3539137506
152,9508037706 3923370223 3135404201
153,3858129870 6992934088 8438848132
154,1579124153 2362154766 4589600307
155,8635231864 4115124449 5814452426
156,5440457049 4163227043 6752918468
157,7358720249 5722188241 5814452426
158,5797291984 6752918468 3880750365
159,1527505526 1888919838 4943575199
160,6548756228 6415814923 4372071612
161,8090429732 2283809534 1570079725
162,4943575199 8090429732 2283809534
163,8635231864 1439531767 4165178436
164,9502616376 8635231864 5882582481
165,4736302039 8787682843 4943575199
166,1064274466 6992934088 1888919838
167,4736302039 8678265258 1114836375
168,2283809534 1570079725 5536500063
169,1579124153 3576123448 3420260562
170,2370468866 6005969791 3239876526
171,6534797225 7635012337 1888919838
172,4796134723 5226117202 1470045057
173,3135404201 7711189150 7805067511
174,3061118174 5797291984 2204815696
175,8167215622 1982083953 3142567710
176,6921814594 7995735254 3576123448
177,7307561899 1875060722 7531860930
178,3792726743 1570079725 6752918468
179,8965045388 6005969791 4736302039
180,4589600307 8787682843 7323317261
181,4152335643 1115892597 1527505526
182,2283809534 8090429732 4796134723
183,3792726743 1229926477 5889007670
184,7902365938 1888919838 5814452426
185,8703718967 8438848132 2283809534
186,6752918468 7805067511 8475296310
187,7744437746 1417247400 6488543938
188,6005969791 9661305965 1299232702
189,8703718967 5955342402 7171722711
190,6856941614 9268092849 8635231864
191,3135404201 2344405385 5202095559
192,5889007670 3576123448 2846824011
193,1439531767 1119397546 7497866934
194,3135404201 8438848132 1200380340
195,5568517850 8820474085 8644288130
196,3135404201 7323317261 7647989348
197,3923370223 3495692721 2041075683
198,5951340226 5361947872 9099833655
199,7239487472 5141359116 4736302039
200,7358720249 4736302039 5431432507
201,6908705504 2283809534 1200380340
202,4736302039 4552775238 6298658064
203,7358720249 4546286454 9860259066
204,4163227043 7166002527 5046776216
205,6752918468 1200380340 5722188241
206,8708098537 4736302039 2165725176
207,7711189150 6362108093 7229596120
208,4818728534 2152497147 7995735254
209,4152335643 5814452426 3792726743
210,3135404201 9162996722 8010175977
211,2165725176 6005969791 3724019050
212,7711189150 6362108093 3277623617
213,7166002527 6992934088 2283809534
214,5649790024 1064274466 3420260562
215,5141359116 9661305965 3709258239
216,3135404201 7805067511 8438848132
217,3135404201 5331468880 7307561899
218,9924424667 2152497147 7330749913
219,6908705504 5265227216 4736302039
220,9628515236 8635231864 5814452426
221,4736302039 3135404201 6005969791
222,6109298362 3537381496 1888919838
223,5249881507 1229926477 8965045388
224,2815250933 6752918468 3923370223
225,8038613478 5814452426 9216336832
226,1375104490 3211767123 4546230055
227,7995735254 7902928612 1229926477
228,6752918468 3880750365 3135404201
229,1320792026 3277623617 8991712683
230,4943575199 2283809534 2165725176
231,6005969791 2433858609 9896819804
232,5592709724 3539137506 8787682843
233,6323478569 1527505526 5824237729
234,1439531767 3212459260 1888919838
235,5592709724 2283809534 9540974355
236,1439531767 3370580092 6488543938
237,6921814594 1593854366 5936437068
238,5955342402 2709802007 8438848132
239,2283809534 7013828750 4152335643
240,1229926477 5814452426 6109298362
241,9436480919 1570079725 1598384906
242,9938846543 3389809619 6005969791
